#adm1+pcode,#adm2+pcode,#date,#affected+infected+confirmed+total,#affected+infected+dead+total,created_at,created_by
13,66,2020-03-16,38.993540042105835,0.886216819138769,2020-12-10 12:45:33.598434,jaredross
13,67,2020-03-16,42.24274684965576,0.9600624284012672,2020-12-10 12:45:33.598434,jaredross
13,68,2020-03-16,43.49549179376043,0.9885339044036462,2020-12-10 12:45:33.598434,jaredross
13,69,2020-03-16,51.268221314477984,1.165186848056318,2020-12-10 12:45:33.598434,jaredross
13,66,2020-03-17,50.735912895694526,1.3293252287081536,2020-12-10 12:45:33.598434,jaredross
13,67,2020-03-17,54.96357402597255,1.4400936426019009,2020-12-10 12:45:33.598434,jaredross
13,68,2020-03-17,56.59356602710874,1.4828008566054693,2020-12-10 12:45:33.598434,jaredross
13,69,2020-03-17,66.7069470512242,1.7477802720844768,2020-12-10 12:45:33.598434,jaredross
13,66,2020-03-18,58.268755858374064,1.5508794334928457,2020-12-10 12:45:33.598434,jaredross
13,67,2020-03-18,63.12410466738332,1.6801092497022176,2020-12-10 12:45:33.598434,jaredross
13,68,2020-03-18,64.99610421453974,1.7299343327063808,2020-12-10 12:45:33.598434,jaredross
13,69,2020-03-18,76.6110352597029,2.039076984098556,2020-12-10 12:45:33.598434,jaredross
13,66,2020-03-19,85.29836884210653,2.4370962526316147,2020-12-10 12:45:33.598434,jaredross
13,67,2020-03-19,92.40600873362197,2.640171678103485,2020-12-10 12:45:33.598434,jaredross
13,68,2020-03-19,95.14638829885095,2.718468237110027,2020-12-10 12:45:33.598434,jaredross
13,69,2020-03-19,112.14923412542059,3.204263832154874,2020-12-10 12:45:33.598434,jaredross
13,66,2020-03-20,99.47783794832682,3.7664214813397683,2020-12-10 12:45:33.598434,jaredross
13,67,2020-03-20,107.76700758804225,4.080265320705386,2020-12-10 12:45:33.598434,jaredross
13,68,2020-03-20,110.96293076930928,4.201269093715497,2020-12-10 12:45:33.598434,jaredross
13,69,2020-03-20,130.79222369432168,4.952044104239351,2020-12-10 12:45:33.598434,jaredross
